Assembly	final.contigs
# contigs (>= 0 bp)	986396
# contigs (>= 1000 bp)	152889
# contigs (>= 5000 bp)	7762
# contigs (>= 10000 bp)	2130
# contigs (>= 25000 bp)	295
# contigs (>= 50000 bp)	32
Total length (>= 0 bp)	755784482
Total length (>= 1000 bp)	323370900
Total length (>= 5000 bp)	75109754
Total length (>= 10000 bp)	37059328
Total length (>= 25000 bp)	10785687
Total length (>= 50000 bp)	2303303
# contigs	537611
Largest contig	131788
Total length	580740093
GC (%)	44.11
N50	1132
N90	563
auN	3142.6
L50	121810
L90	427904
# N's per 100 kbp	0.00
