Assembly	polished_assembly_minimap_lr-marine_sediment
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	7753
Total length (>= 1000 bp)	7753
Total length (>= 5000 bp)	7753
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	7753
Total length	7753
GC (%)	33.38
N50	7753
N90	7753
auN	7753.0
L50	1
L90	1
# N's per 100 kbp	0.00
